Base sample,number_of_runs,variable,true_index,true_rank,rf_pvi_mean,rf_pvi_ci_lower,rf_pvi_ci_upper,sobol_toi_mean,sobol_toi_ci_lower,sobol_toi_ci_upper,rf_rank_correctness,sobol_rank_correctness
500,5000,P1,0.4040,1,0.4019,0.3847,0.4191,0.4134,0.3582,0.4686,0.9000,0.7500
500,5000,P2,0.3592,2,0.3267,0.3121,0.3412,0.3590,0.3085,0.4096,0.8500,0.5000
500,5000,P3,0.2842,3,0.2283,0.2158,0.2407,0.2997,0.2531,0.3463,0.9500,0.4000
500,5000,P4,0.1969,4,0.1160,0.1064,0.1256,0.2034,0.1469,0.2600,1.0000,0.5500
500,5000,P5,0.1243,5,0.0648,0.0592,0.0704,0.1456,0.0863,0.2048,1.0000,0.6500
500,5000,P6,0.0330,6,0.0216,0.0191,0.0240,0.0362,-0.0101,0.0826,1.0000,0.5000
500,5000,P7,0.0021,7,0.0072,0.0063,0.0081,0.0138,-0.0452,0.0728,0.5500,0.5000
500,5000,P8,0.0001,8,0.0067,0.0060,0.0075,0.0123,-0.0458,0.0704,0.5500,0.3500
1000,10000,P1,0.4040,1,0.4928,0.4833,0.5022,0.3926,0.3522,0.4330,1.0000,0.7000
1000,10000,P2,0.3592,2,0.4173,0.4030,0.4315,0.3349,0.2978,0.3721,1.0000,0.4000
1000,10000,P3,0.2842,3,0.3143,0.3041,0.3245,0.2876,0.2502,0.3250,1.0000,0.6500
1000,10000,P4,0.1969,4,0.1680,0.1613,0.1746,0.1961,0.1620,0.2301,1.0000,0.9000
1000,10000,P5,0.1243,5,0.0973,0.0910,0.1036,0.1046,0.0645,0.1447,1.0000,0.7500
1000,10000,P6,0.0330,6,0.0360,0.0343,0.0377,0.0250,-0.0233,0.0733,1.0000,0.7000
1000,10000,P7,0.0021,7,0.0174,0.0164,0.0184,-0.0041,-0.0523,0.0441,0.8500,0.6000
1000,10000,P8,0.0001,8,0.0150,0.0141,0.0160,-0.0067,-0.0548,0.0413,0.8500,0.5500
1500,15000,P1,0.4040,1,0.4839,0.4709,0.4969,0.3916,0.3567,0.4266,0.9500,0.7500
1500,15000,P2,0.3592,2,0.4250,0.4153,0.4348,0.3529,0.3220,0.3838,0.9500,0.6000
1500,15000,P3,0.2842,3,0.3068,0.2939,0.3197,0.2703,0.2273,0.3134,1.0000,0.7000
1500,15000,P4,0.1969,4,0.1887,0.1792,0.1982,0.1732,0.1308,0.2157,1.0000,0.7500
1500,15000,P5,0.1243,5,0.0967,0.0912,0.1022,0.1124,0.0726,0.1523,1.0000,0.9000
1500,15000,P6,0.0330,6,0.0321,0.0304,0.0337,0.0254,-0.0142,0.0651,1.0000,0.9000
1500,15000,P7,0.0021,7,0.0144,0.0137,0.0152,-0.0100,-0.0516,0.0317,0.8000,0.6500
1500,15000,P8,0.0001,8,0.0132,0.0127,0.0137,-0.0124,-0.0549,0.0302,0.8000,0.7000
2000,20000,P1,0.4040,1,0.4748,0.4647,0.4849,0.4093,0.3865,0.4321,1.0000,0.8500
2000,20000,P2,0.3592,2,0.4264,0.4181,0.4346,0.3650,0.3447,0.3853,1.0000,0.8000
2000,20000,P3,0.2842,3,0.3236,0.3143,0.3330,0.2814,0.2611,0.3018,1.0000,0.8500
2000,20000,P4,0.1969,4,0.1863,0.1781,0.1945,0.2068,0.1856,0.2279,1.0000,0.8500
2000,20000,P5,0.1243,5,0.0988,0.0937,0.1039,0.1402,0.1103,0.1700,1.0000,0.9000
2000,20000,P6,0.0330,6,0.0301,0.0288,0.0315,0.0360,0.0157,0.0562,1.0000,0.9000
2000,20000,P7,0.0021,7,0.0137,0.0129,0.0145,0.0056,-0.0185,0.0298,0.9500,0.4500
2000,20000,P8,0.0001,8,0.0116,0.0112,0.0121,0.0052,-0.0191,0.0295,0.9500,0.4500
2500,25000,P1,0.4040,1,0.4582,0.4477,0.4686,0.4194,0.3903,0.4484,1.0000,0.8500
2500,25000,P2,0.3592,2,0.4078,0.3996,0.4160,0.3685,0.3431,0.3939,1.0000,0.8000
2500,25000,P3,0.2842,3,0.3121,0.3024,0.3218,0.2862,0.2594,0.3130,1.0000,0.9500
2500,25000,P4,0.1969,4,0.1922,0.1866,0.1978,0.2197,0.1977,0.2417,1.0000,0.9500
2500,25000,P5,0.1243,5,0.0965,0.0925,0.1005,0.1406,0.1088,0.1723,1.0000,0.9500
2500,25000,P6,0.0330,6,0.0288,0.0271,0.0305,0.0454,0.0111,0.0798,1.0000,0.8500
2500,25000,P7,0.0021,7,0.0126,0.0122,0.0131,0.0175,-0.0180,0.0531,0.9000,0.4500
2500,25000,P8,0.0001,8,0.0115,0.0110,0.0119,0.0164,-0.0195,0.0523,0.9000,0.5500
